y variety block plot factweek varweek unit
5 1 1 1 1 1 1
4.84 1 1 1 2 2 2
4.02 1 1 1 3 3 3
3.75 1 1 1 4 4 4
3.13 1 1 1 5 5 5
4.42 1 2 2 1 1 6
4.3 1 2 2 2 2 7
3.67 1 2 2 3 3 8
3.23 1 2 2 4 4 9
2.83 1 2 2 5 5 10
4.42 1 3 3 1 1 11
4.1 1 3 3 2 2 12
3.46 1 3 3 3 3 13
3.09 1 3 3 4 4 14
2.82 1 3 3 5 5 15
4.01 1 4 4 1 1 16
3.89 1 4 4 2 2 17
3.21 1 4 4 3 3 18
2.89 1 4 4 4 4 19
2.56 1 4 4 5 5 20
3.36 1 5 5 1 1 21
3.1 1 5 5 2 2 22
2.67 1 5 5 3 3 23
2.47 1 5 5 4 4 24
2.16 1 5 5 5 5 25
5.82 2 1 6 1 1 26
5.6 2 1 6 2 2 27
5.05 2 1 6 3 3 28
4.72 2 1 6 4 4 29
4.46 2 1 6 5 5 30
5.73 2 2 7 1 1 31
5.59 2 2 7 2 2 32
5 2 2 7 3 3 33
4.65 2 2 7 4 4 34
4.42 2 2 7 5 5 35
5.31 2 3 8 1 1 36
5.19 2 3 8 2 2 37
4.86 2 3 8 3 3 38
4.44 2 3 8 4 4 39
4.22 2 3 8 5 5 40
4.92 2 4 9 1 1 41
4.66 2 4 9 2 2 42
4.56 2 4 9 3 3 43
4.16 2 4 9 4 4 44
3.99 2 4 9 5 5 45
3.96 2 5 10 1 1 46
3.86 2 5 10 2 2 47
3.5 2 5 10 3 3 48
3.13 2 5 10 4 4 49
2.95 2 5 10 5 5 50
5.65 3 1 11 1 1 51
5.97 3 1 11 2 2 52
5.27 3 1 11 3 3 53
5.07 3 1 11 4 4 54
4.52 3 1 11 5 5 55
5.39 3 2 12 1 1 56
5.49 3 2 12 2 2 57
5.08 3 2 12 3 3 58
4.87 3 2 12 4 4 59
4.32 3 2 12 5 5 60
5.15 3 3 13 1 1 61
5.28 3 3 13 2 2 62
4.93 3 3 13 3 3 63
4.67 3 3 13 4 4 64
4.15 3 3 13 5 5 65
4.5 3 4 14 1 1 66
4.89 3 4 14 2 2 67
4.74 3 4 14 3 3 68
4.49 3 4 14 4 4 69
4.1 3 4 14 5 5 70
3.75 3 5 15 1 1 71
3.74 3 5 15 2 2 72
3.55 3 5 15 3 3 73
3.28 3 5 15 4 4 74
3 3 5 15 5 5 75
5.86 4 1 16 1 1 76
5.6 4 1 16 2 2 77
5.37 4 1 16 3 3 78
5 4 1 16 4 4 79
4.37 4 1 16 5 5 80
5.82 4 2 17 1 1 81
5.55 4 2 17 2 2 82
5.29 4 2 17 3 3 83
4.95 4 2 17 4 4 84
4.07 4 2 17 5 5 85
5.26 4 3 18 1 1 86
5.06 4 3 18 2 2 87
4.76 4 3 18 3 3 88
4.48 4 3 18 4 4 89
3.94 4 3 18 5 5 90
4.87 4 4 19 1 1 91
4.75 4 4 19 2 2 92
4.55 4 4 19 3 3 93
4.33 4 4 19 4 4 94
3.83 4 4 19 5 5 95
3.96 4 5 20 1 1 96
3.76 4 5 20 2 2 97
3.56 4 5 20 3 3 98
3.18 4 5 20 4 4 99
2.96 4 5 20 5 5 100
