gen date density block yield densf
Barkant 21Aug1990 1 B1 2.7 1
Barkant 21Aug1990 1 B2 1.4 1
Barkant 21Aug1990 1 B3 1.2 1
Barkant 21Aug1990 1 B4 3.8 1
Barkant 21Aug1990 2 B1 7.3 2
Barkant 21Aug1990 2 B2 3.8 2
Barkant 21Aug1990 2 B3 3 2
Barkant 21Aug1990 2 B4 1.2 2
Barkant 21Aug1990 4 B1 6.5 4
Barkant 21Aug1990 4 B2 4.6 4
Barkant 21Aug1990 4 B3 4.7 4
Barkant 21Aug1990 4 B4 0.8 4
Barkant 21Aug1990 8 B1 8.2 8
Barkant 21Aug1990 8 B2 4 8
Barkant 21Aug1990 8 B3 6 8
Barkant 21Aug1990 8 B4 2.5 8
Barkant 28Aug1990 1 B1 4.4 1
Barkant 28Aug1990 1 B2 0.4 1
Barkant 28Aug1990 1 B3 6.5 1
Barkant 28Aug1990 1 B4 3.1 1
Barkant 28Aug1990 2 B1 2.6 2
Barkant 28Aug1990 2 B2 7.1 2
Barkant 28Aug1990 2 B3 7 2
Barkant 28Aug1990 2 B4 3.2 2
Barkant 28Aug1990 4 B1 24 4
Barkant 28Aug1990 4 B2 14.9 4
Barkant 28Aug1990 4 B3 14.6 4
Barkant 28Aug1990 4 B4 2.6 4
Barkant 28Aug1990 8 B1 12.2 8
Barkant 28Aug1990 8 B2 18.9 8
Barkant 28Aug1990 8 B3 15.6 8
Barkant 28Aug1990 8 B4 9.9 8
Marco 21Aug1990 1 B1 1.2 1
Marco 21Aug1990 1 B2 1.3 1
Marco 21Aug1990 1 B3 1.5 1
Marco 21Aug1990 1 B4 1 1
Marco 21Aug1990 2 B1 2.2 2
Marco 21Aug1990 2 B2 2 2
Marco 21Aug1990 2 B3 2.1 2
Marco 21Aug1990 2 B4 2.5 2
Marco 21Aug1990 4 B1 2.2 4
Marco 21Aug1990 4 B2 6.2 4
Marco 21Aug1990 4 B3 5.7 4
Marco 21Aug1990 4 B4 0.6 4
Marco 21Aug1990 8 B1 4 8
Marco 21Aug1990 8 B2 2.8 8
Marco 21Aug1990 8 B3 10.8 8
Marco 21Aug1990 8 B4 3.1 8
Marco 28Aug1990 1 B1 2.5 1
Marco 28Aug1990 1 B2 1.6 1
Marco 28Aug1990 1 B3 1.3 1
Marco 28Aug1990 1 B4 0.3 1
Marco 28Aug1990 2 B1 5.5 2
Marco 28Aug1990 2 B2 1.2 2
Marco 28Aug1990 2 B3 2 2
Marco 28Aug1990 2 B4 0.9 2
Marco 28Aug1990 4 B1 4.7 4
Marco 28Aug1990 4 B2 13.2 4
Marco 28Aug1990 4 B3 9 4
Marco 28Aug1990 4 B4 2.9 4
Marco 28Aug1990 8 B1 14.9 8
Marco 28Aug1990 8 B2 13.3 8
Marco 28Aug1990 8 B3 9.3 8
Marco 28Aug1990 8 B4 3.6 8
